Family,Category,Stroke,Classifications,Keywords,Styles,Variable Axes,Subsets,Designers,Popularity Rank,Trending Rank,Is Noto,Date Added,Last Modified,Google Fonts URL
ADLaM Display,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european,400,,adlam | latin | latin-ext,Mark Jamra | Neil Patel | Andrew Footit,667,671,No,2023-08-14,2025-05-30,https://fonts.google.com/specimen/ADLaM+Display
Advent Pro,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention versatile multi-weight flexible italic variable variable-font responsive variable-weight variable-width russian cyrillic slavic cyrillic extended greek english western european extended-latin european well-known common,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wdth: 100..200 | wght: 100..900,cyrillic | cyrillic-ext | greek | latin | latin-ext,VivaRado,162,1200,No,2012-02-29,2025-09-16,https://fonts.google.com/specimen/Advent+Pro
Afacad,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque italic variable variable-font responsive variable-weight cyrillic extended english western european extended-latin european vietnamese multilingual international,400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i,wght: 400..700,cyrillic-ext | latin | latin-ext | math | symbols | vietnamese,Kristian Möller | Dicotype,249,656,No,2023-12-04,2025-09-04,https://fonts.google.com/specimen/Afacad
Afacad Flux,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-slant english western european extended-latin european vietnamese,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900 | 1000,slnt: -14..14 | wght: 100..1000,latin | latin-ext | vietnamese,Kristian Möller | Dicotype,387,263,No,2024-09-23,2025-09-08,https://fonts.google.com/specimen/Afacad+Flux
Agbalumo,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention cyrillic extended ethiopic amharic english western european extended-latin european vietnamese,400,,cyrillic-ext | ethiopic | latin | latin-ext | vietnamese,Raphael Alẹ́gbẹ́lẹ́yẹ̀ | Sorkin Type | Eben Sorkin,782,1139,No,2023-10-05,2025-06-25,https://fonts.google.com/specimen/Agbalumo
Agdasima,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention english western european extended-latin european,400 | 700,,latin | latin-ext,The DocRepair Project | Patric King,676,1324,No,2023-04-02,2025-06-02,https://fonts.google.com/specimen/Agdasima
Agu Display,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention variable variable-font responsive english western european extended-latin european vietnamese,400,MORF: 0..60,latin | latin-ext | vietnamese,Seun Badejo,587,753,No,2024-12-09,2025-09-04,https://fonts.google.com/specimen/Agu+Display
Aguafina Script,Handwriting,,Display | Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Sudtipos,510,713,No,2011-11-30,2025-09-02,https://fonts.google.com/specimen/Aguafina+Script
Akatab,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible english western european extended-latin european,400 | 500 | 600 | 700 | 800 | 900,,latin | latin-ext | tifinagh,SIL International,313,278,No,2023-06-21,2025-09-10,https://fonts.google.com/specimen/Akatab
Akaya Kanadaka,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention kannada indian english western european extended-latin european,400,,kannada | latin | latin-ext,Vaishnavi Murthy | Juan Luis Blanco,727,1231,No,2021-01-14,2025-09-16,https://fonts.google.com/specimen/Akaya+Kanadaka
Akaya Telivigala,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european telugu indian,400,,latin | latin-ext | telugu,Vaishnavi Murthy | Juan Luis Blanco,500,789,No,2016-06-15,2025-09-02,https://fonts.google.com/specimen/Akaya+Telivigala
Akronim,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Grzegorz Klimczewski,452,453,No,2012-09-23,2025-05-30,https://fonts.google.com/specimen/Akronim
Akshar,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque variable variable-font responsive variable-weight hindi devanagari indian english western european extended-latin european,300 | 400 | 500 | 600 | 700,wght: 300..700,devanagari | latin | latin-ext,Tall Chai,273,238,No,2022-03-21,2025-09-08,https://fonts.google.com/specimen/Akshar
Akt,Sans Serif,Sans Serif,,,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,wght: 100..900,cyrillic | cyrillic-ext | greek | greek-ext | latin | latin-ext | vietnamese,Dmitry Grenev,808,287,No,2026-05-12,2026-05-13,https://fonts.google.com/specimen/Akt
Aladin,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Sudtipos,599,1064,No,2011-11-30,2025-09-11,https://fonts.google.com/specimen/Aladin
Alan Sans,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight english western european extended-latin european,300 | 400 | 500 | 600 | 700 | 800 | 900,wght: 300..900,latin | latin-ext,Raphaël Ronot,655,1144,No,2025-09-17,2025-11-20,https://fonts.google.com/specimen/Alan+Sans
Alata,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european extended-latin european vietnamese well-known common,400,,latin | latin-ext | vietnamese,Spyros Zevelakis | Eben Sorkin,261,427,No,2019-11-08,2025-09-04,https://fonts.google.com/specimen/Alata
Alatsi,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque cyrillic extended english western european extended-latin european vietnamese,400,,cyrillic-ext | latin | latin-ext | vietnamese,Spyros Zevelakis | Eben Sorkin,415,1154,No,2019-11-07,2025-09-10,https://fonts.google.com/specimen/Alatsi
Albert Sans,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic variable variable-font responsive variable-weight english western european extended-latin european well-known common,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wght: 100..900,latin | latin-ext,Andreas Rasmussen,171,668,No,2022-06-08,2025-09-11,https://fonts.google.com/specimen/Albert+Sans
Aldrich,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention english western european,400,,latin,MADType,323,921,No,2011-08-17,2025-06-02,https://fonts.google.com/specimen/Aldrich
Alef,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque hebrew RTL israeli english western european,400 | 700,,hebrew | latin,Hagilda | Mushon Zer-Aviv,677,2045,No,2013-05-21,2025-09-04,https://fonts.google.com/specimen/Alef
Alegreya,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone versatile multi-weight flexible italic variable variable-font responsive variable-weight russian cyrillic slavic cyrillic extended greek greek extended english western european extended-latin european vietnamese multilingual international well-known common,400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wght: 400..900,cyrillic | cyrillic-ext | greek | greek-ext | latin | latin-ext | vietnamese,Juan Pablo del Peral | HT Fonts,87,359,No,2011-12-19,2026-06-30,https://fonts.google.com/specimen/Alegreya
Alegreya Sans,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic russian cyrillic slavic cyrillic extended greek greek extended english western european extended-latin european vietnamese multilingual international well-known common,100 | 100i | 300 | 300i | 400 | 400i | 500 | 500i | 700 | 700i | 800 | 800i | 900 | 900i,,cyrillic | cyrillic-ext | greek | greek-ext | latin | latin-ext | vietnamese,Juan Pablo del Peral | HT Fonts,208,587,No,2013-12-04,2026-06-30,https://fonts.google.com/specimen/Alegreya+Sans
Alegreya Sans SC,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic russian cyrillic slavic cyrillic extended greek greek extended english western european extended-latin european vietnamese multilingual international,100 | 100i | 300 | 300i | 400 | 400i | 500 | 500i | 700 | 700i | 800 | 800i | 900 | 900i,,cyrillic | cyrillic-ext | greek | greek-ext | latin | latin-ext | vietnamese,Juan Pablo del Peral | HT Fonts,135,188,No,2013-12-04,2026-06-30,https://fonts.google.com/specimen/Alegreya+Sans+SC
Alegreya SC,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone italic russian cyrillic slavic cyrillic extended greek greek extended english western european extended-latin european vietnamese multilingual international,400 | 400i | 500 | 500i | 700 | 700i | 800 | 800i | 900 | 900i,,cyrillic | cyrillic-ext | greek | greek-ext | latin | latin-ext | vietnamese,Juan Pablo del Peral | HT Fonts,212,550,No,2011-12-19,2026-06-30,https://fonts.google.com/specimen/Alegreya+SC
Aleo,Serif,Slab Serif,,elegant traditional classic refined literary editorial slab mechanical sturdy strong versatile multi-weight flexible italic variable variable-font responsive variable-weight english western european extended-latin european vietnamese well-known common,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wght: 100..900,latin | latin-ext | vietnamese,Alessio Laiso,148,1087,No,2018-12-11,2025-09-16,https://fonts.google.com/specimen/Aleo
Alex Brush,Handwriting,,Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal english western european extended-latin european vietnamese,400,,latin | latin-ext | vietnamese,Robert Leuschke,197,260,No,2011-12-19,2025-09-11,https://fonts.google.com/specimen/Alex+Brush
Alexandria,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight arabic RTL middle-east english western european extended-latin european vietnamese,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,wght: 100..900,arabic | latin | latin-ext | vietnamese,Mohamed Gaber | Julieta Ulanovsky,187,685,No,2022-11-03,2025-09-04,https://fonts.google.com/specimen/Alexandria
Alfa Slab One,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention english western european extended-latin european vietnamese popular widely-used,400,,latin | latin-ext | vietnamese,JM Solé,56,145,No,2011-12-19,2025-09-04,https://fonts.google.com/specimen/Alfa+Slab+One
Alice,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone russian cyrillic slavic cyrillic extended english western european extended-latin european,400,,cyrillic | cyrillic-ext | latin | latin-ext,Ksenya Erulevich | Cyreal,253,1226,No,2011-08-10,2025-09-08,https://fonts.google.com/specimen/Alice
Alien Block,Display,Sans Serif,Display,,400,,latin | latin-ext,Kensuke Uchida,1136,1293,No,2026-06-05,2026-06-08,https://fonts.google.com/specimen/Alien+Block
Alike,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european extended-latin european,400,,latin | latin-ext | math | symbols,Sveta Sebyakina | Cyreal,517,664,No,2011-08-24,2025-09-04,https://fonts.google.com/specimen/Alike
Alike Angular,Serif,Serif,Display,elegant traditional classic refined literary editorial transitional oldstyle didone headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext | math | symbols,Sveta Sebyakina | Cyreal,1008,221,No,2011-09-28,2025-09-04,https://fonts.google.com/specimen/Alike+Angular
Alkalami,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone arabic RTL middle-east english western european extended-latin european,400,,arabic | latin | latin-ext,SIL International,1292,806,No,2022-06-09,2025-09-16,https://fonts.google.com/specimen/Alkalami
Alkatra,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention variable variable-font responsive variable-weight bengali bangladeshi indian hindi devanagari indian english western european extended-latin european odia oriya indian,400 | 500 | 600 | 700,wght: 400..700,bengali | devanagari | latin | latin-ext | oriya,Suman Bhandary,427,666,No,2023-01-27,2025-09-08,https://fonts.google.com/specimen/Alkatra
Allan,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention english western european extended-latin european,400 | 700,,latin | latin-ext,Anton Koovit,542,317,No,2010-12-15,2025-09-16,https://fonts.google.com/specimen/Allan
Allerta,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european,400,,latin,Matt McInerney,431,554,No,2010-11-30,2025-09-04,https://fonts.google.com/specimen/Allerta
Allerta Stencil,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention english western european,400,,latin,Matt McInerney,384,1166,No,2010-11-30,2025-09-11,https://fonts.google.com/specimen/Allerta+Stencil
Allison,Handwriting,,Display | Handwriting,personal casual friendly warm handwritten script organic  headline hero decorative large-text attention script cursive hand-drawn artistic informal english western european extended-latin european vietnamese,400,,latin | latin-ext | vietnamese,Robert Leuschke,308,672,No,2021-07-02,2025-09-16,https://fonts.google.com/specimen/Allison
Allkin,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention,400,,,Monotype Imaging Inc.,1913,1873,No,2026-02-18,2026-03-11,https://fonts.google.com/specimen/Allkin
Allura,Handwriting,,Display | Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal headline hero decorative large-text attention english western european extended-latin european vietnamese well-known common,400,,latin | latin-ext | vietnamese,Robert Leuschke,88,203,No,2012-02-08,2025-09-02,https://fonts.google.com/specimen/Allura
Almarai,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque arabic RTL middle-east english western european popular widely-used,300 | 400 | 700 | 800,,arabic | latin,Boutros Fonts | Mourad Boutros,61,638,No,2019-06-04,2025-09-02,https://fonts.google.com/specimen/Almarai
Almendra,Serif,Serif,Display,elegant traditional classic refined literary editorial transitional oldstyle didone headline hero decorative large-text attention italic english western european extended-latin european,400 | 400i | 700 | 700i,,latin | latin-ext,Ana Sanfelippo,445,946,No,2011-12-19,2025-09-04,https://fonts.google.com/specimen/Almendra
Almendra Display,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Ana Sanfelippo,884,276,No,2012-11-12,2025-09-04,https://fonts.google.com/specimen/Almendra+Display
Almendra SC,Serif,Serif,Display,elegant traditional classic refined literary editorial transitional oldstyle didone headline hero decorative large-text attention english western european,400,,latin,Ana Sanfelippo,816,1113,No,2011-12-19,2025-09-10,https://fonts.google.com/specimen/Almendra+SC
Alumni Sans,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention versatile multi-weight flexible italic variable variable-font responsive variable-weight russian cyrillic slavic cyrillic extended english western european extended-latin european vietnamese well-known common,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wght: 100..900,cyrillic | cyrillic-ext | latin | latin-ext | vietnamese,Robert Leuschke,49,190,No,2021-06-19,2025-09-02,https://fonts.google.com/specimen/Alumni+Sans
Alumni Sans Collegiate One,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention italic russian cyrillic slavic english western european extended-latin european vietnamese,400 | 400i,,cyrillic | latin | latin-ext | vietnamese,Robert Leuschke,882,252,No,2022-04-09,2025-09-16,https://fonts.google.com/specimen/Alumni+Sans+Collegiate+One
Alumni Sans Inline One,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention italic english western european extended-latin european vietnamese,400 | 400i,,latin | latin-ext | vietnamese,Robert Leuschke,905,959,No,2022-02-24,2025-09-04,https://fonts.google.com/specimen/Alumni+Sans+Inline+One
Alumni Sans Pinstripe,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention italic russian cyrillic slavic cyrillic extended english western european extended-latin european vietnamese,400 | 400i,,cyrillic | cyrillic-ext | latin | latin-ext | vietnamese,Robert Leuschke,836,990,No,2022-06-08,2025-09-16,https://fonts.google.com/specimen/Alumni+Sans+Pinstripe
Alumni Sans SC,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention versatile multi-weight flexible italic variable variable-font responsive variable-weight russian cyrillic slavic cyrillic extended english western european extended-latin european vietnamese,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wght: 100..900,cyrillic | cyrillic-ext | latin | latin-ext | vietnamese,Robert Leuschke,828,1304,No,2025-05-28,2025-09-08,https://fonts.google.com/specimen/Alumni+Sans+SC
Alyamama,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone versatile multi-weight flexible variable variable-font responsive variable-weight arabic RTL middle-east greek english western european extended-latin european,300 | 400 | 500 | 600 | 700 | 800 | 900,wght: 300..900,arabic | greek | latin | latin-ext,Yazeed Omar,1501,159,No,2026-02-18,2026-02-19,https://fonts.google.com/specimen/Alyamama
Amarante,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Karolina Lach,253,162,No,2012-07-10,2025-09-11,https://fonts.google.com/specimen/Amarante
Amaranth,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque italic english western european,400 | 400i | 700 | 700i,,latin,Gesine Todt,351,1267,No,2011-05-04,2025-09-04,https://fonts.google.com/specimen/Amaranth
Amarna,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic variable variable-font responsive variable-weight english western european extended-latin european,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i,wght: 100..700,latin | latin-ext,Ishtār van Looy,965,217,No,2025-12-08,2026-02-26,https://fonts.google.com/specimen/Amarna
Amatic SC,Handwriting,Sans Serif,Display,personal casual friendly warm handwritten script organic geometric humanist grotesque headline hero decorative large-text attention russian cyrillic slavic hebrew RTL israeli english western european extended-latin european vietnamese well-known common,400 | 700,,cyrillic | hebrew | latin | latin-ext | vietnamese,Vernon Adams | Ben Nathan | Thomas Jockin,147,620,No,2011-10-12,2025-09-16,https://fonts.google.com/specimen/Amatic+SC
Amethysta,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european,400,,latin,Cyreal,318,347,No,2012-01-18,2025-09-10,https://fonts.google.com/specimen/Amethysta
Amiko,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque hindi devanagari indian english western european extended-latin european,400 | 600 | 700,,devanagari | latin | latin-ext,Impallari Type,442,186,No,2016-03-01,2025-09-16,https://fonts.google.com/specimen/Amiko
Amiri,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone italic arabic RTL middle-east english western european extended-latin european well-known common,400 | 400i | 700 | 700i,,arabic | latin | latin-ext,Khaled Hosny | Sebastian Kosch,217,1019,No,2012-07-30,2025-08-26,https://fonts.google.com/specimen/Amiri
Amiri Quran,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone arabic RTL middle-east english western european,400,,arabic | latin,Khaled Hosny | Sebastian Kosch,753,1250,No,2022-08-10,2025-08-26,https://fonts.google.com/specimen/Amiri+Quran
Amita,Handwriting,Serif,Display,personal casual friendly warm handwritten script organic transitional oldstyle didone headline hero decorative large-text attention hindi devanagari indian english western european extended-latin european,400 | 700,,devanagari | latin | latin-ext,Eduardo Tunni | Brian Bonislawsky,257,472,No,2015-05-20,2025-09-11,https://fonts.google.com/specimen/Amita
Anaheim,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque variable variable-font responsive variable-weight english western european extended-latin european vietnamese,400 | 500 | 600 | 700 | 800,wght: 400..800,latin | latin-ext | vietnamese,Vernon Adams,1086,244,No,2012-10-31,2025-09-04,https://fonts.google.com/specimen/Anaheim
Ancizar Sans,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic variable variable-font responsive variable-weight greek english western european extended-latin european,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i | 1000 | 1000i,wght: 100..1000,greek | latin | latin-ext,Universidad Nacional de Colombia (UNAL) | César Puertas | Viviana Monsalve | Julián Moncada,929,918,No,2025-05-08,2025-09-11,https://fonts.google.com/specimen/Ancizar+Sans
Ancizar Serif,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone versatile multi-weight flexible italic variable variable-font responsive variable-weight greek english western european extended-latin european,300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wght: 300..900,greek | latin | latin-ext,Universidad Nacional de Colombia (UNAL) | César Puertas | Viviana Monsalve | Julián Moncada,1519,865,No,2025-05-08,2025-09-16,https://fonts.google.com/specimen/Ancizar+Serif
Andada Pro,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone italic variable variable-font responsive variable-weight english western european extended-latin european vietnamese well-known common,400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i,wght: 400..840,latin | latin-ext | vietnamese,HT Fonts | Carolina Giovagnoli,136,18,No,2021-05-19,2026-06-30,https://fonts.google.com/specimen/Andada+Pro
Andika,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque italic russian cyrillic slavic cyrillic extended english western european extended-latin european vietnamese,400 | 400i | 700 | 700i,,cyrillic | cyrillic-ext | latin | latin-ext | vietnamese,SIL International,136,332,No,2011-08-10,2025-09-10,https://fonts.google.com/specimen/Andika
Anek Bangla,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width bengali bangladeshi indian english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: 75..125 | wght: 100..800,bengali | latin | latin-ext,Ek Type,131,623,No,2022-02-08,2025-09-16,https://fonts.google.com/specimen/Anek+Bangla
Anek Devanagari,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width hindi devanagari indian english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: 75..125 | wght: 100..800,devanagari | latin | latin-ext,Ek Type,776,2350,No,2022-02-08,2025-09-16,https://fonts.google.com/specimen/Anek+Devanagari
Anek Gujarati,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width gujarati indian english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: 75..125 | wght: 100..800,gujarati | latin | latin-ext,Ek Type,715,632,No,2022-02-08,2025-09-11,https://fonts.google.com/specimen/Anek+Gujarati
Anek Gurmukhi,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width punjabi gurmukhi indian english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: 75..125 | wght: 100..800,gurmukhi | latin | latin-ext,Ek Type,1526,546,No,2022-02-15,2025-09-04,https://fonts.google.com/specimen/Anek+Gurmukhi
Anek Kannada,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width kannada indian english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: 75..125 | wght: 100..800,kannada | latin | latin-ext,Ek Type,761,543,No,2022-02-15,2025-09-11,https://fonts.google.com/specimen/Anek+Kannada
Anek Latin,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width english western european extended-latin european vietnamese,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: 75..125 | wght: 100..800,latin | latin-ext | vietnamese,Ek Type,544,772,No,2022-02-15,2025-09-16,https://fonts.google.com/specimen/Anek+Latin
Anek Malayalam,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width english western european extended-latin european malayalam indian,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: 75..125 | wght: 100..800,latin | latin-ext | malayalam,Ek Type,275,377,No,2022-02-15,2025-09-16,https://fonts.google.com/specimen/Anek+Malayalam
Anek Odia,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight variable-width english western european extended-latin european odia oriya indian,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: 75..125 | wght: 100..800,latin | latin-ext | oriya,Ek Type,409,575,No,2022-02-08,2025-09-11,https://fonts.google.com/specimen/Anek+Odia
